id,category,query1,query2,label,prob
2665,breast_cancer,乳房有硬块是不是乳腺癌,乳房有硬块有疼痛这是乳腺癌吗？,1,0.5248058140277863
2649,diabetes,尿检尿液葡萄糖2，这是糖尿病吗,是不是血糖高就是糖尿病,0,0.2791314845671877
223,hypertension,高血压吃中成药，吃哪种,请问能用于肝阳上亢型高血压的中药有哪些,0,0.3025085711851716
1603,diabetes,妊娠糖尿病有哪些危害,妊娠期糖尿病的夕危害,1,0.5076682195067406
1361,hypertension,高血压心脏病如何治疗,高血压拌有心绞痛如何治疗,0,0.3989405173342675
18,diabetes,妊娠期糖尿病治疗饮食,妊娠期糖尿病如何饮食,1,0.23138125240802765
977,aids,碰到艾滋病血会感染艾滋病吗,被猫爪抓伤了，留点血会感染艾滋吗,0,0.43729207571595907
1373,aids,艾滋病跟尖锐湿疣、梅毒有联系么,我去年八月份得的尖锐湿疣，现在一直没复发，我想问一下，能得梅毒，和艾滋吗,0,0.45785332380910404
628,breast_cancer,乳腺癌术后淋巴结转移怎么办,乳腺癌转移淋巴结该如何治疗,0,0.5124944634735584
2660,aids,艾滋病能被治愈吗,艾滋病能治愈吗被感染怎莫办,1,0.49905046180356294
1039,diabetes,糖尿病可以艾草泡脚吗,泡脚可以治糖尿病吗,1,0.543158333748579
1401,diabetes,"有糖尿病,手麻是怎么回事",糖尿病人手指麻木是怎么回事,1,0.5321728698909283
2430,breast_cancer,乳腺癌骨转移晚期如何用药,乳腺癌骨转移的治疗,0,0.6517764031887054
1243,aids,dtxj会感染hiv吗,请帮我看看会感染hiv吗,0,0.47786995582282543
2232,breast_cancer,早期乳腺癌会有哪些不适,乳腺癌的症状有哪些，会有什么不适？,0,0.5096901496872306
1950,hypertension,手淫与高血压有关系吗？,男20高血压高压158低压84每天都手淫会不会是导致高血压的原因,0,0.5224328525364399
550,diabetes,糖尿病看什么科,"在通州人民看糖尿病,挂什么科室",1,0.4886851580813527
2442,diabetes,糖尿病还有肾病能喝酸奶吗,糖尿病人喝酸奶好吗,1,0.4902143641375005
2510,aids,艾滋病会传染吗,推油会传染艾滋病吗,0,0.2530099507421255
2012,diabetes,糖尿病人怎么增肥,糖尿病1.5型，体质消瘦，怎样增加体重,1,0.4975571520626545
3045,breast_cancer,乳腺癌转移到肺能活多久,乳腺癌远处转移一般活多久？,0,0.5265221875160933
2122,breast_cancer,乳腺癌骨转移晚期如何用药,乳腺癌肝骨转移的治疗,0,0.5749149769544601
2952,diabetes,冠心病糖尿病人的食谱,糖尿病饮食包括哪些,1,0.4912228265311569
1865,diabetes,糖尿病饮食治疗下列哪种是正确的,糖尿病的饮食有哪些,0,0.5306369513273239
2027,diabetes,一型糖尿病能不能要小孩,糖尿病孕妇可以生小孩子吗,0,0.576433889567852
2747,breast_cancer,乳腺囊肿与乳腺癌是同一种病吗,乳腺囊肿就是乳腺癌吗？,1,0.5134326787665486
