id,category,query1,query2,label
0,支气管炎,30周孕妇支气管炎怎么办？,30周孕妇支气管炎怎么治疗？,1
1,支气管炎,30周孕妇支气管炎怎么办？,30周孕妇支气管炎如何治疗？,1
2,支气管炎,30周孕妇支气管炎怎么办？,31周孕妇支气管炎怎么办？,0
3,支气管炎,30周孕妇支气管炎怎么办？,30周孕妇支气管炎严重吗？,0
4,支气管炎,30周孕妇支气管炎怎么办？,30周孕妇支气管炎要住院吗？,0
5,支气管炎,4岁支气管炎低烧不退怎么办,4岁支气管炎低烧不退有什么办法,1
6,支气管炎,4岁支气管炎低烧不退怎么办,4岁支气管炎低烧不退需要怎么做,1
7,支气管炎,4岁支气管炎低烧不退怎么办,4岁支气管炎是低烧引起的吗,0
8,支气管炎,4岁支气管炎低烧不退怎么办,4岁支气管炎低烧不退是什么病,0
9,支气管炎,4岁支气管炎低烧不退怎么办,5岁低烧不退是病毒性感冒吗,0
10,支气管炎,URI-支气管炎如何诊断检查,做什么检查可以诊断URI-支气管炎,1
11,支气管炎,URI-支气管炎如何诊断检查,怎样检查出URI-支气管炎,1
12,支气管炎,URI-支气管炎如何诊断检查,URI-支气管炎吃什么药,0
13,支气管炎,URI-支气管炎如何诊断检查,URI-支气管炎有什么症状,0
14,支气管炎,URI-支气管炎如何诊断检查,URI-支气管炎是由什么引起,0
15,支气管炎,一年多反复支气管炎且有咽炎是怎么回事,长时间多次支气管炎且有咽炎是什么病,1
16,支气管炎,一年多反复支气管炎且有咽炎是怎么回事,反复支气管炎且有咽炎是什么病,1
17,支气管炎,一年多反复支气管炎且有咽炎是怎么回事,反复支气管炎怎么治,0
18,支气管炎,一年多反复支气管炎且有咽炎是怎么回事,反复支气管炎吃什么药,0
19,支气管炎,一年多反复支气管炎且有咽炎是怎么回事,支气管炎怎样才能根治,0
20,支气管炎,支气管炎:咳嗽半个月,支气管炎半个月了，一直咳嗽,1
21,支气管炎,支气管炎:咳嗽半个月,支气管炎:咳嗽有半个月了,1
22,支气管炎,支气管炎:咳嗽半个月,支气管炎半个月了，白天咳嗽的厉还,0
23,支气管炎,支气管炎:咳嗽半个月,"支气管炎,咳嗽时好时坏!",0
24,支气管炎,支气管炎:咳嗽半个月,支气管炎:咳嗽一直没停过,0
25,支气管炎,支气管炎低烧反复发作,支气管炎低烧反复发作怎么办,1
26,支气管炎,支气管炎低烧反复发作,支气管炎低烧反复发作怎么处理,1
27,支气管炎,支气管炎低烧反复发作,支气管炎低烧反复发作会不会留下后遗症,0
28,支气管炎,支气管炎低烧反复发作,支气管炎低烧反复发作是什么导致的,0
29,支气管炎,支气管炎低烧反复发作,支气管炎低烧反复发作是什么原因,0
30,支气管炎,支气管炎发烧38度,支气管炎发烧38度怎么治疗?,1
31,支气管炎,支气管炎发烧38度,支气管炎发烧38度咋办,1
32,支气管炎,支气管炎发烧38度,支气管炎，发烧38.3时可以哺乳吗,0
33,支气管炎,支气管炎发烧38度,支气管炎引起的发烧，一直38度退不下来,0
34,支气管炎,支气管炎发烧38度,支气管炎发烧38度会有什么症状,0
35,支气管炎,支气管炎吃什么桂龙咳喘宁联邦克立停,支气管炎应该吃什么药,1
36,支气管炎,支气管炎吃什么联邦克立停,支气管炎服用什么联邦克立停效果好,1
37,支气管炎,支气管炎吃什么联邦克立停,支气管炎不能吃什么药,0
38,支气管炎,支气管炎吃什么联邦克立停,支气管炎需要吃多久的药,0
39,支气管炎,支气管炎吃什么联邦克立停,怎样确诊是不是支气管炎,0
40,支气管炎,支气管炎吃什么药?,支气管炎了可以吃什么药？,1
41,支气管炎,支气管炎吃什么药?,吃什么药可以治疗支气管炎？,1
42,支气管炎,支气管炎吃什么药?,支气管炎吃消炎药一般多久痊愈？,0
43,支气管炎,支气管炎吃什么药?,支气管炎吃消炎药有用吗？,0
44,支气管炎,支气管炎吃什么药?,支气管炎吃什么消炎药？,0
45,支气管炎,支气管炎吃什么药孕妇六个月,六个月的孕妇支气管炎能吃什么药,1
46,支气管炎,支气管炎吃什么药孕妇六个月,六个月的孕妇支气管炎需要吃那种药,1
47,支气管炎,支气管炎吃什么药孕妇六个月,六个月的孕妇支气管炎吃药对孩子有影响吗,0
48,支气管炎,支气管炎吃什么药孕妇六个月,六个月的孕妇怎样预防支气管炎,0
49,支气管炎,支气管炎吃什么药孕妇六个月,六个月的孕妇支气管炎的症状是什么,0
50,支气管炎,支气管炎和下支气管炎有什么区别？,支气管炎和下支气管炎的区别,1
51,支气管炎,支气管炎和下支气管炎有什么区别？,上呼吸道和下支气管炎有什么不同吗,1
52,支气管炎,支气管炎和下支气管炎有什么区别？,我想下。宝宝支气管炎和下支气管炎有什么差别？,0
53,支气管炎,支气管炎和下支气管炎有什么区别？,"上呼吸道跟下支气管炎怎么区别,化验单能否看出来",0
54,支气管炎,支气管炎和下支气管炎有什么区别？,上、下支气管炎的区别和具体用药,0
55,支气管炎,支气管炎咳嗽如何治疗?,如何治疗因支气管炎引起的咳嗽？,1
56,支气管炎,支气管炎咳嗽如何治疗?,如何治疗咳嗽？由支气管炎引起的。,1
57,支气管炎,支气管炎咳嗽如何治疗?,支气管炎咳嗽会留下后遗症吗？,0
58,支气管炎,支气管炎咳嗽如何治疗?,支气管炎咳嗽可以自己好吗？,0
59,支气管炎,支气管炎咳嗽如何治疗?,支气管炎咳嗽是什么原因引起的？,0
60,支气管炎,支气管炎如何保健护理,支气管炎应该怎样保健护理,1
61,支气管炎,支气管炎如何保健护理,支气管炎保健护理的操作是什么,1
62,支气管炎,支气管炎如何保健护理,支气管炎患者不能吃什么,0
63,支气管炎,支气管炎如何保健护理,支气管感染平时怎么保健,0
64,支气管炎,支气管炎如何保健护理,支气管炎能喝酒吗,0
65,支气管炎,支气管炎应该吃什么药,支气管炎能吃什么药,1
66,支气管炎,支气管炎应该吃什么药,支气管炎需要吃什么药,1
67,支气管炎,支气管炎应该吃什么药,支气管炎不能吃什么药,0
68,支气管炎,支气管炎应该吃什么药,感冒能引起支气管炎吗,0
69,支气管炎,支气管炎应该吃什么药,支气管炎引起咳嗽怎么办,0
70,支气管炎,支气管炎引起感冒嗓子发炎有痰怎么办,支气管炎引起感冒嗓子发炎有痰怎样治疗,1
71,支气管炎,支气管炎引起感冒嗓子发炎有痰怎么办,支气管炎引起感冒嗓子发炎有痰有效的办法是什么,1
72,支气管炎,支气管炎引起感冒嗓子发炎有痰怎么办,感冒能引起嗓子发炎吗,0
73,支气管炎,支气管炎引起感冒嗓子发炎有痰怎么办,嗓子有痰是支气管炎引起的吗,0
74,支气管炎,支气管炎引起感冒嗓子发炎有痰怎么办,支气管炎能不能吃阿莫西林,0
75,支气管炎,支气管炎引起的小儿咳嗽怎么治疗？,小儿的支气管炎引起的咳嗽怎么治疗？,1
76,支气管炎,支气管炎引起的小儿咳嗽怎么治疗？,因支气管炎而引起的咳嗽怎么治疗？,1
77,支气管炎,支气管炎引起的小儿咳嗽怎么治疗？,小儿支气管炎的病因是什么？,0
78,支气管炎,支气管炎引起的小儿咳嗽怎么治疗？,小儿支气管炎会留下后遗症吗？,0
