id,category,query1,query2,label
0,上呼吸道感染,巨能清热解毒口服液是不是处方药,呼吸道感染能喝巨能清热解毒口服液吗,0
1,哮喘,哮喘是什么原因引起的？,造成哮喘的原因是什么？,1
2,感冒,月子里感冒流鼻涕怎么治,月子里咳嗽怎么办,0
3,感冒,感冒肺部感染有必要打点滴吗？,感冒肺部感染可以打点滴吗？,1
4,哮喘,过敏性哮喘一般要注意什么,过敏性哮喘的过敏原是什么,0
5,感冒,一来月经就感冒怎么办,一来月经就感冒是因为什么,1
6,支原体肺炎,依托红霉素颗粒能治疗干咳吗,依托红霉素颗粒能治疗干咳吗,1
7,感冒,月经期间吃感冒药物的影响有哪些,月经期间吃感冒药物的影响有哪些,1
8,感冒,孕妇感冒了能不能喝板蓝根？,孕妇感冒了可以喝板蓝根吗？,1
9,感冒,怀孕感冒喉咙痛能吃什么药,怀孕感冒喉咙痛能吃什么药,1
10,感冒,月经期间吃感冒药物对身体有影响吗,月经期间吃感冒药物对身体有哪些影响,1
11,肺炎,冠状病毒感染的症状有哪些？,冠状病毒的症状,1
12,感冒,我经常感冒是为什么？,我经常感冒是因为什么？,1
13,感冒,哺乳期感冒能吃什么药？,哺乳期感冒能吃什么药？,1
14,感冒,感冒了孕妇能喝姜汤红糖水吗,感冒可以多喝白开水,0
15,感冒,吃感冒药后喝酒后果严重吗,吃感冒药后喝酒会有什么严重性,1
16,感冒,哺乳期感冒可以吃什么药？,哺乳期感冒能吃什么药？,1
17,感冒,孕妇感冒怎么好的快,孕妇感冒最快治疗方法有哪些,1
18,感冒,感冒药对孕妇有影响吗,怀孕第一个月吃感冒药影响大吗,1
19,上呼吸道感染,上呼吸道感染需要吃罗红霉素吗？,上呼吸道感染，吃了三天罗红霉素，可否换成头孢？,0
20,哮喘,得了过敏性哮喘怎么治？,患了过敏性哮喘的注意事项是什么？,0
21,胸膜炎,什么情况下结核胸膜炎会发热,结核胸膜炎在哪种情况下会发热,1
22,肺炎,得过肺炎的人应该注意些什么?,得了肝炎应该注意点什么呢,0
23,哮喘,颈椎疼喝颈痛片会对哮喘产生影响吗？,颈椎疼喝颈痛片有副作用吗？,0
24,感冒,孩子感冒流鼻涕该咋办呢,孩子感冒流鼻涕有什么办法呢,1
25,支原体肺炎,儿童支原体肺炎阿奇霉素需要吃几个疗程？,儿童支原体肺炎阿奇霉素会有副作用吗？,0
26,感冒,哺乳期感冒可以吃什么药疗效好,哺乳期的妈妈感冒需要和宝宝分开吗？,0
27,肺气肿,患有肺气肿有什么事项需要注意？,肺气肿患者会有哪些病理症状？,0
28,肺气肿,慢性肺气肿要怎样氧疗正确？,慢性阻塞性肺气肿的症状是什么？,0
29,感冒,我经常反复性的感冒流鼻涕是为什么,我经常反复感冒流鼻涕怎么办,0
30,感冒,怀孕期间感冒了能喝红糖姜水吗？,孕妇感冒了对胎儿有影响吗,0
31,肺气肿,肺气肿病人在家做氧疗有没有效果？,肺气肿病人在家做氧疗管用吗？,1
32,哮喘,如何治疗过敏性哮喘最好呢？,四川哪里治疗过敏性哮喘最好？,0
33,哮喘,什么方法治疗过敏性哮喘最有效？,过敏性哮喘的最管用的治疗方法有什么？,1
34,上呼吸道感染,上呼吸道感染低烧反复发作怎么办,上呼吸道感染低烧反复发作怎么处理,1
35,感冒,感冒期间能过性生活吗？,女性有点感冒过性生活可以吗,1
36,感冒,感冒鼻子不通不吃药可以好吗？,鼻子不通不吃药这样感冒能好吗？,1
37,肺炎,米氏链球菌肺炎要怎么诊断检查？,米氏链球菌肺炎有哪些症状？,0
38,支原体肺炎,小孩患支原体肺炎，还低烧，该怎么处理办？,小孩支原体肺炎出院后会持续低热吗？,0
39,哮喘,反复过敏性哮喘应该吃什么药,反复过敏性哮喘怎么用药,1
40,感冒,宝宝流黄色的粘稠鼻涕有什么办法,宝宝流黄色的粘稠鼻涕怎么治,1
41,感冒,怀孕前期感冒需要怎么做,怀孕前期感冒了用什么办法？？？,1
42,感冒,宝宝爱流鼻涕怎么回事,宝宝为老是流鼻涕是什么原因?,1
43,感冒,来例假时感冒药能吃吗,感冒能吃阿莫西林吗,0
44,肺炎,肺炎链球菌疫苗可不可以不打？,肺炎链球菌疫苗价格是多少,0
45,感冒,宝宝鼻塞感冒流鼻涕该怎么办？,小宝宝感冒流鼻涕是受凉了吗,0
46,胸膜炎,胸膜炎是否严重会有什么症状表现？,胸膜炎严重吗症状有哪些？,1
47,上呼吸道感染,不感冒老是咳嗽反复咳咳是怎么回事？,咳咳有痰吐不出来吃什么药好？,0
48,感冒,宝宝流清鼻涕，能吃什么药？,宝宝流清鼻涕，可以吃什么药？,1
49,肺气肿,肺气肿有必要做手术吗？,肺气肿要动手术吗？,1
50,上呼吸道感染,感觉上颚疼是怎么回事,上颚疼是不是不能吃辛辣油腻的食物,0
51,感冒,宝宝流鼻涕鼻子不通该咋办,鼻子不通对宝宝有影响吗？,0
52,肺气肿,肺气肿患者平时要注意什么？,肺气肿患者会有哪些病理症状？,0
53,咳血,百令胶囊长时间服用会有问题吗?,百令胶囊怎么服用?,0
54,感冒,老是流鼻涕打喷嚏怎么办？,总是有流鼻涕打喷嚏如何处理？,1
55,肺气肿,治疗肺气肿有什么方法？,肺气肿能吃什么药？,0
56,肺炎,布氏杆菌是肺炎支原体引起的吗,布氏杆菌的危害是什么,0
57,哮喘,哮喘长期使用布地奈德气雾剂有副作用吗？,哮喘长期使用布地奈德气雾剂会不会有副作用？,1
58,上呼吸道感染,婴幼儿能不能吃鼻渊通窍颗粒,鼻渊通窍颗粒有副作用吗,0
59,上呼吸道感染,石家庄清热解毒软胶囊疗效好吗,石家庄清热解毒软胶囊效果明显吗,1
60,咳血,立效止嗽立效丸在药店买比医院更便宜吗？,药店的立效止嗽立效丸的价格比医院的便宜一些吗？,1
61,肺炎,，月经期间可以吃替硝唑片吗,，月经期间能可不可以吃替硝唑片,1
62,上呼吸道感染,上呼道感染和中耳炎有关系吗,中耳炎能马上停药吗,0
63,哮喘,变异性哮喘要做什么样的检查？,变异性哮喘确诊需要哪些检查？,1
64,胸膜炎,左胸口隐隐作痛有哪些好办法可以根治吗？,吃东西左胸口疼能吃什么药缓解？,0
65,感冒,"怀孕初期吃了感冒药,孩子不能要吗",怀孕初期感冒了可以用药吗,0
66,肺炎,肺炎一般要治多久才可以好？,肺炎一般要治疗多长时间才能痊愈?,1
67,感冒,怀孕感冒了能喝生姜水吗？,怀孕26周了，感冒了生姜水可以喝吗,1
68,感冒,四季感冒药孕妇可以吃吗,孕妇8个月可以吃那些药,0
69,感冒,抵抗力差容易感冒能吃什么,抵抗力差容易感冒能吃什么,1
70,肺气肿,肺气肿有哪些症状？,患有肺气肿怎么治疗？,0
71,上呼吸道感染,咳嗽有痰不通气怎么做才会恢复？,咳嗽有痰不通气是感冒了？,0
72,肺炎,间质性肺炎可以治好吗,间质性肺炎的症状是什么,0
73,上呼吸道感染,小孩咳嗽引起了反复发烧该怎么处理？,小孩咳嗽引起了反复发烧如何是好？,1
74,肺炎,6岁患有肺炎的小孩怎么治疗,6岁的孩子得肺炎采用什么方法治疗好,1
75,肺炎,23价肺炎疫苗该打吗?,23价肺炎疫苗能不能不打,1
76,肺气肿,如何治疗老年人慢支肺气肿？,怎样治疗老年人的慢支肺气肿,1
77,上呼吸道感染,小孩咳嗽有痰适合吃些小儿咳喘灵颗粒不？,小孩有点咳嗽有痰可以吃小儿咳喘灵颗粒吗？,1
78,感冒,肠胃性感冒的症状特征有哪些,肠胃性感冒需要服用什么药,0
79,感冒,感冒流鼻涕可以吃什么药？,1岁的宝宝感冒流鼻涕可不可以喝酸奶,0
80,肺炎,肺炎是什么引起的,肺炎的发病原因有哪些,1
81,肺炎,肺炎是怎么引起的肺炎是怎么引起的,肺炎的发病原因有哪些,1
82,支原体肺炎,肺炎支原体发高烧如何是好？,肺炎支原体发高烧如何处理？,1
83,感冒,孕妇感冒吃什么药好,孕妇感冒可以吃什么药？,1
84,咳血,秦巴止血胶囊的有哪些功能,月经量大过多能吃秦巴止血胶囊吗,0
85,支原体肺炎,支原体肺炎阿奇霉素扎了7天停药3天会怎么样？,支原体肺炎阿奇霉素要扎几天？,0
86,感冒,感冒鼻塞流鼻涕打喷嚏该怎么治疗,感冒引起的鼻塞流鼻涕打喷嚏有什么办法,1
87,上呼吸道感染,如何治疗因上呼吸道感染引起的咳嗽？,如何治疗咳嗽？由上呼吸道感染引起的。,1
88,上呼吸道感染,感冒清热颗粒有什么副作用？,感冒清热颗粒的副作用是什么？,1
89,感冒,哺乳期感冒吃什么药好呢？,哺乳期妈妈感冒用和宝宝分开吗？,0
90,上呼吸道感染,百利(阿莫西林胶囊)的注意事项有什么呢？,百利阿莫西林胶囊有哪些注意事项呢？,1
91,哮喘,咳嗽变异性哮喘能根治吗,儿童会得咳嗽变异性哮喘吗,0
92,肺气肿,肺气肿吸氧有作用吗？,肺气肿病人吸氧浓度,0
93,肺炎,钩虫性肺炎有什么治疗方法？,钩虫性肺炎该怎么治？,1
94,上呼吸道感染,婴幼儿上呼吸道感染预防措施有哪些,上呼吸道感染的易感人群是什么,0
95,感冒,孕妇感冒快速治愈的方法有哪些,怀孕期间感冒了，快速高效的治疗方法有哪几种,1
96,支原体肺炎,肺炎支原体检查多久出结果？,肺炎支原体抽血检查能确诊吗？,0
97,感冒,一直流鼻涕打喷嚏有什么办法吗,一直流鼻涕打喷嚏洗澡有什么影响吗,0
98,感冒,哺乳期感冒能吃什么药？,哺乳期感冒能吃什么药？,1
99,肺气肿,肺气肿应怎么治啊？能治好吗？,肺气肿能治愈好吗怎么治愈？,1
100,咳血,百令胶囊是否可以长时间服用?,百令胶囊长时间服用会有问题吗?,1
101,肺炎,曾得过肺炎现在肺经常不舒服可以怎么治疗,以前有肺炎现在肺经常不舒服有什么方法,1
102,感冒,四季感冒药孕妇可以吃吗,孕妇季节性感冒怎么办,0
103,肺炎,宝宝需要打肺炎疫苗吗？,宝宝肺炎有什么症状？,0
104,哮喘,硫酸沙丁胺醇吸入气雾剂适合老人用吗？,老年人能否用硫酸沙丁胺醇吸入气雾剂？,1
105,上呼吸道感染,孕妇与养猫的人接触会感染弓形虫吗？,孕妇间接接触猫会不会感染弓形虫？,1
106,感冒,吃感冒药后喝酒会有什么严重性,吃感冒药后喝酒会有什么危害,1
107,支原体肺炎,肺炎支原体发高烧怎么处理？,肺炎支原体发烧几天？,0
108,上呼吸道感染,冬天扁桃体经常发炎怎么回事,扁桃体经常发炎该怎么治疗,1
109,支原体肺炎,宝宝一周得了支原体肺炎输了五天阿奇霉素能行吗？,支原体肺炎打阿奇霉素不见好是什么原因？,0
110,感冒,哺乳期吃了感冒药什么时候可以喂奶,哺乳期可以吃感冒药吗？,0
111,感冒,宝宝流鼻涕就一定是感冒了吗,宝宝流鼻涕是怎么办？,1
112,支原体肺炎,小孩反复咳嗽好了咽喉怎么长了呢,5岁小孩子反复感冒怎么办,0
113,上呼吸道感染,吃克拉霉素缓释片多长时间才能有效,吃大量克拉霉素缓释片会过敏吗,0
114,上呼吸道感染,金诃安儿宁颗粒能治哪些疾病？,金诃安儿宁颗粒主攻什么疾病？,1
115,肺气肿,肺气肿患者的饮食禁忌具体有哪些？,肺气肿患者的症状有哪些？,0
116,支原体肺炎,支原体肺炎能吃转移因子胶囊吗？,支原体肺炎会自己好吗？,0
117,上呼吸道感染,十六味马蔺子丸在普通的药店里面能买到吗,普通药店有卖十六味马蔺子丸的吗,1
118,肺气肿,为什么老人肺气肿冬天咳嗽更厉害？,老人肺气肿冬天咳嗽厉害是什么原因？,1
119,感冒,我感冒了然后擤了鼻涕耳朵，感觉有点堵，怎么办？,擤鼻涕把耳朵堵了会造成耳鸣吗,0
120,感冒,哺乳期妇女感冒可以吃什么药,哺乳期妇女感冒能吃什么药,1
121,肺气肿,如果得了肺气肿该怎么做？,肺气肿在平时有什么是需要注意的？,0
122,胸膜炎,孕妇（4个月）感冒能用头孢克肟颗粒吗？,孕妇（4个月）感冒可否服用头孢克肟颗粒？,1
123,感冒,小孩老是流鼻涕是什么原因？,小孩长期流鼻涕是为什么？,1
124,胸膜炎,长期坐姿不好可能得胸膜炎吗,得胸膜炎跟长期坐姿不好有关系吗,1
125,肺气肿,肺气肿应怎么治啊？能治好吗？,肺气肿如何可以治好,1
126,感冒,孕妇感冒可不可以喝小柴胡颗粒,小柴胡颗粒禁忌孕妇,0
127,上呼吸道感染,上呼吸道过敏综合征是什么样的疾病？,上呼吸道过敏综合征怎么治疗？,0
128,支原体肺炎,小儿支原体肺炎复发了如何是好？,小儿支原体肺炎复发了怎么做？,1
129,肺炎,3岁小孩肺炎症状有哪些?,孩子肺炎表现是怎样的,1
130,肺炎,宝宝得肺炎好了后需要隔离多长时间,五莲县孩子治疗肺炎哪个医院好？,0
131,哮喘,过敏性哮喘病人日常生活需要注意哪些防护,过敏性哮喘病人注意事项有哪些,1
132,支原体肺炎,小儿支原体肺炎怎么护理？,治疗小儿支原体肺炎有什么方法？,0
133,哮喘,过敏性哮喘要注意什么事项？,过敏性哮喘有哪些症状？,0
134,上呼吸道感染,小孩上呼吸道感染反复发烧需要怎么治疗,小孩上呼吸道感染持续发热几天能好,0
135,肺气肿,肺纤维化肺气肿的治疗方法是啥,如何治疗肺纤维化肺气肿,1
136,肺炎,幼儿肺炎的症状是什么,孕妇应该怎样预防肺炎,0
137,感冒,流黄色鼻涕是什么问题？,老是流黄鼻涕吃点什么药好？,0
138,感冒,感冒打喷嚏该怎么办呢？,打了两天的喷嚏，这是怎么回事，感冒会一直打喷嚏吗？,0
139,感冒,什么牌子的感冒药是孕妇可以吃的,孕妇吃感冒药对胎儿有影响吗,0
140,肺气肿,患了肺气肿一般会有哪些症状表现啊,患有肺气肿怎么治疗？,0
141,感冒,感冒还能喝龙牡壮骨颗粒吗,感冒喝龙牡壮骨颗粒有用吗,1
142,感冒,怀孕感冒了怎么治？？？,怀孕感冒了有什么办法？？？,1
143,感冒,因感冒导致声音沙哑怎么办好？,感冒之后嗓子沙哑怎么治疗,1
144,感冒,宝宝鼻子老是呼呼响但是没看到鼻涕怎么治,三个月宝宝鼻子呼呼响没看到鼻涕有什么方法,1
145,感冒,哺乳期感冒流鼻涕打喷嚏有什么办法,哺乳期感冒流鼻涕可以喂奶吗,0
146,感冒,哺乳期感冒有什么好的治疗办法,哺乳期感冒该怎么办效果最好,1
147,肺炎,小孩肺炎有什么好的治疗方案嘛？,小儿肺炎的偏方是什么,1
148,肺气肿,肺气肿能治愈好吗怎么治愈？,肺气肿如何可以治好,1
149,上呼吸道感染,强力止咳宁胶囊可以和阿莫西林胶囊一起吃吗,感冒咳嗽能吃阿莫西林胶囊吗,0
150,哮喘,如何治疗过敏性哮喘，这种病能根治吗？,过敏性哮喘治疗期间不能吃什么？,0
151,肺气肿,怎样治疗老年人的慢支肺气肿,慢支肺气肿有什么特效药吗？,0
152,支原体肺炎,支原体肺炎感染，不打吊瓶可以吗？,支原体肺炎感染，能否不打吊瓶？,1
153,上呼吸道感染,琦鹰汉藏七味螃蟹甲丸的作用大吗,琦鹰汉藏七味螃蟹甲丸的效果好吗,1
154,上呼吸道感染,阿莫西林胶囊过敏的症状是什么,阿莫西林胶囊过敏的反应是什么,1
155,哮喘,"哮喘,咳嗽,气喘适宜吃孟鲁司特钠片吗？",孟鲁司特钠片有什么功效？,0
156,胸膜炎,胸膜炎治愈后能怀孩子吗,怀孕不能吃什么药,0
157,上呼吸道感染,使用双黄连注射液为什么要做皮试？,双黄连注射液使用为什么要做皮试？,1
158,肺炎,23介肺炎疫苗有打的必要吗,肺炎的23价疫苗有必要打吗,1
159,肺气肿,老人肺气肿冬天咳嗽厉害是什么原因？,肺气肿为什么冬天咳嗽,1
160,感冒,孕妇感冒了该怎么治疗？,孕妇感冒了，怎么办才好啊,1
161,哮喘,怎样治疗咳嗽变异性哮喘？,什么是咳嗽变异性哮喘,0
162,肺气肿,吃什么食物对肺气肿好？,肺气肿病人适宜吃哪种食物？,1
163,感冒,妈妈感冒了喂母乳有什么影响吗,妈妈感冒了可以继续喂母乳给宝宝吗,1
164,感冒,感冒总流鼻涕是怎么回事呀？,感冒一直流鼻涕是因为什么,1
165,肺气肿,治疗肺气肿的特效药有哪些,肺气肿的类型有哪些？,0
166,感冒,总是感冒流鼻涕怎么治疗,总是感冒流鼻涕这可怎么治？,1
167,上呼吸道感染,巨能清热解毒口服液疗效怎么样,高血压的患者能喝巨能清热解毒口服液吗,0
168,肺气肿,肺气肿晚期患者要怎么治疗？,肺气肿患者晚期如何治疗？,1
169,感冒,一来月经就感冒是什么原因,一来月经就感冒是咋回事,1
170,肺炎,鼻疽假单胞菌肺炎有怎样的治疗办法？,鼻疽假单胞菌肺炎的治疗方法是什么？,1
171,肺炎,23价肺炎疫苗打后发烧是病吗,23价肺炎疫苗打后咳嗽正常吗,0
172,感冒,孕妇感冒最快治疗方法有哪些,怀孕期间感冒了，快速高效的治疗方法有哪几种,1
173,肺气肿,肺气肿病人厌食如何是好？,肺气肿有什么症状？,0
174,感冒,感冒期间能不能喝龙牡壮骨颗粒,感冒能不能喝龙牡壮骨颗粒,1
175,上呼吸道感染,孕妇与养猫的人接触会感染弓形虫吗？,孕妇摸猫会不会感染弓形虫？,0
176,肺炎,23介肺炎疫苗是不是需要打,23介肺炎疫苗有没有打的必要？,1
177,肺气肿,患了肺气肿可以办慢性病门诊治疗吗？,肺气肿常见的病因是什么？,0
178,感冒,哺乳期感冒可以吃什么药疗效好,哺乳期感冒可以吃什么药？,1
179,感冒,小孩感冒鼻塞流鼻涕怎么办才好啊?,孩子伤风流鼻涕怎么办,0
180,上呼吸道感染,婴儿上呼吸道感染是什么导致的？,两个月的婴儿上呼吸道感染可以吃药吗,0
181,胸膜炎,结核性胸膜炎可以用椒目葶苈汤来治疗吗？,胸膜炎可以运动吗？,0
182,感冒,小宝宝感冒流鼻涕怎么办才好,宝宝感冒流鼻涕，吃点什么见效快？,0
183,上呼吸道感染,孕妇能喝复方甘草口服溶液吗？,复方甘草口服液对孕妇有什么影响？,0
184,上呼吸道感染,阿莫西林胶囊能用来治疗伤口吗,可以用阿莫西林胶囊治疗伤口吗,1
185,上呼吸道感染,上呼吸道感染的治疗方法有哪些,咨询上呼吸道感染的症状和治疗方法,0
186,肺炎,孩子传染性肺炎好了后隔离多长时间？,产碱杆菌肺炎的治疗方法有哪些,0
187,肺气肿,肺气肿病人不想吃东西怎么办,肺气肿病人多久能治好,0
188,感冒,吃什么对孕妇感冒好,要是孕妇感冒了能吃什么？？,1
189,肺炎,23价肺炎疫苗什么时候注射啊,23价肺炎疫苗的注射时间是什么？,1
190,支原体肺炎,红霉素软膏的适应症有哪些？,红霉素软膏有什么适应症？,1
191,感冒,吃感冒药能影响月经推迟吗,吃感冒药会不会影响例假推迟,1
192,支原体肺炎,肺炎支原体发高烧不退该怎么做？,肺炎支原体有什么症状？,0
193,肺炎,怎样治疗孩子肺炎好的快,孩子的肺炎怎么治疗效果更好,1
194,感冒,不到5岁小孩老是感冒怎样治？,不到5岁小孩老是感冒有什么法？,1
195,感冒,一岁半的小孩不感冒老是流鼻涕怎么用药,一岁半的小孩不感冒老是流鼻涕有什么办法,1
196,肺炎,打几针23价肺炎疫苗合适呢?,23价肺炎疫苗要打多少针合适呢?,1
197,感冒,感冒喉咙痛什么水果可以吃,感冒喉咙痛能吃什么水果,1
