id,category,query1,query2,label,prob
518,hepatitis,乙肝小三阳能不能抽烟喝酒,患有乙肝小三阳，能不能喝啤酒呢,1,0.49869151739403605
1355,breast_cancer,乳腺癌前期有什么症状,乳腺癌会有什么症状?,0,0.48750941129401326
933,breast_cancer,早期乳腺癌会有哪些不适,乳腺癌的早期症状都会有哪些？,1,0.47348651627544314
1168,hepatitis,去小排档吃东西，能传染乙肝或者丙肝吗,去小排档吃东西会传染乙肝吗,1,0.7207696884870529
235,diabetes,糖尿病神经病变有什么症状？,请问糖尿病有什么表现,0,0.4627243332215585
1581,diabetes,什么是胰岛素样生长因子？缺少会怎样,胰岛素样生长因子缺少？,1,0.51974056661129
281,breast_cancer,中期乳腺癌的最佳治疗方法有什么,乳腺癌都有哪些最佳治疗方法,0,0.5016547301784158
2718,aids,肛交会传染艾滋病吗,两个都没艾滋病的同性恋多次口交或肛交会传染艾滋病吗,0,0.5001129531301558
208,diabetes,血糖7.6是糖尿病吗需要吃药吗,是糖尿病吗？需要用药吗?,0,0.5055434159003198
1428,hepatitis,怎么有效的阻止乙肝母婴传播,我是乙肝小三阳，怀孕19周，如何预防母婴传播,0,0.49881775508401915
75,diabetes,糖尿病肾阳虚早泄吃什么中成药,有那些中成药可以治疗糖尿病,1,0.49265556287718937
304,hepatitis,干扰素可以治愈慢性乙肝吗,干扰素真的可以治疗乙肝吗,1,0.7042595595121384
974,aids,国家提供免费检测HIV服务吗,怎么免费检查艾滋病,0,0.5054230582900345
397,breast_cancer,乳腺癌术后还需要化疗吗,乳腺癌术后化疗相关,0,0.4450563080608845
98,aids,补牙洗牙拔牙会得艾滋病吗,洗牙会不会感染艾滋病,1,0.6449266374111176
527,diabetes,糖尿病人怎么拿健康证,有糖尿病可以办健康证吗,1,0.490369695762638
1435,diabetes,糖尿病患者为什么身体瘦呢,我是糖尿病患者腿越来越细是怎么回事,1,0.4133093389682472
1479,hepatitis,乙肝的全部传播途径是什么，谢谢,正确认识乙肝的传播途径,1,0.5778593644499779
877,diabetes,糖尿病出现低血糖时应该怎么办,发生低血糖的处理原则？,1,0.7170102298259735
1067,hepatitis,加强型乙肝疫苗有效期,乙肝疫苗保质期多久,1,0.5002624747576192
2333,diabetes,糖尿病应该做哪些检查,糖尿病化验什么,1,0.49439020978752524
376,breast_cancer,乳腺癌早期化疗要注意什么,乳腺癌化疗应注意什么,0,0.5015910479705781
1737,breast_cancer,乳腺癌脑转移的患者能活多久,乳腺癌还能活多久?,0,0.4964049654081464
2454,hypertension,高血压患者应该注意什么，在平时的生活中，需要有哪些禁忌吗,冬季高血压是个高发期，想知道患者的生活有什么禁忌？,1,0.4999812091118656
1290,aids,全身瘙痒会不会是得艾滋病,我会不会是得艾滋,0,0.5491760969161987
670,aids,感染艾滋病24小时会有症状吗,感染艾滋病一定有症状吗,1,0.5018958218861371
2085,hepatitis,乙肝大三阳的孕妇可不可以母乳喂养,乙肝病毒携带者可以哺乳吗,1,0.7579723596572876
141,aids,得了艾滋病的人一般能活多久,艾滋病患者有这些症状还能活多久怎么治疗,0,0.37761018704622984
1627,breast_cancer,乳腺囊肿与乳腺癌是同一种病吗,乳腺囊肿会成乳腺癌吗,0,0.35431547346524894
1614,hepatitis,乙肝转氨酶升高了怎么办,乙肝大三阳转氨酶升高要怎么治疗,1,0.6692158877849579
721,breast_cancer,乳房有肿块是不是乳腺癌,乳房有肿块十年了会不会形成乳腺癌？,0,0.4263764098286629
17,aids,这样能传播艾滋吗,精斑会不会传播艾滋,0,0.5052530383691192
1973,diabetes,糖尿病患者得了甲亢要如何治疗,专家支招：甲亢、糖尿病怎么办,1,0.48683450371026993
2129,diabetes,糖尿病人吃什么推荐糖尿病人一周三餐食谱大全,糖尿病病人一日三餐要吃些什么?,1,0.49609121680259705
