id,category,query1,query2,label
0,支气管炎,支气管炎一般要治疗多久能好,支气管炎一般需要几天能治好？,1
1,支气管炎,支气管炎一般要治疗多久能好,支气管炎多久能治好？,1
2,支气管炎,支气管炎一般要治疗多久能好,支气管炎一般烧几天？,0
3,支气管炎,支气管炎一般要治疗多久能好,支气管炎前几天能化验出来吗？,0
4,支气管炎,支气管炎一般要治疗多久能好,支气管炎化验血能化验出么？,0
5,支气管炎,支气管炎一般要治疗多久能好,支气管炎一般多久可以治好？,1
6,支气管炎,支气管炎一般要治疗多久能好,要治愈支气管炎需要多久？,1
7,支气管炎,支气管炎一般要治疗多久能好,支气管炎表现有哪些？,0
8,支气管炎,支气管炎一般要治疗多久能好,支气管炎怎么治，治疗方案有哪些？,0
9,支气管炎,支气管炎一般要治疗多久能好,要治疗支气管炎有什么方法？,0
10,支气管炎,支气管炎是支气管炎吗？,支气管炎是支气管炎吗？,1
11,支气管炎,支气管炎是支气管炎吗？,支气管炎和支气管炎一样吗？,1
12,支气管炎,支气管炎是支气管炎吗？,支气管炎与支气管炎可以用什么药治疗？,0
13,支气管炎,支气管炎是支气管炎吗？,支气管炎与支气管炎有什么关系？,0
14,支气管炎,支气管炎是支气管炎吗？,支气管炎与支气管炎会有后遗症吗？,0
15,支气管炎,"得过支气管炎病的人,有哪些适合的健身方式?",有哪些健身方式适合支气管炎病患者?,1
16,支气管炎,"得过支气管炎病的人,有哪些适合的健身方式?","得过支气管炎病的人,可以选择怎样的健身方式？",1
17,支气管炎,"得过支气管炎病的人,有哪些适合的健身方式?",支气管炎病患者能否跑步运动？,0
18,支气管炎,"得过支气管炎病的人,有哪些适合的健身方式?",支气管炎病是怎么得上的？,0
19,支气管炎,"得过支气管炎病的人,有哪些适合的健身方式?",支气管炎病能治好吗？,0
20,支气管炎,支气管炎，会传给家里人吗？,支气管炎，是不是会传给家里人？,1
21,支气管炎,支气管炎，会传给家里人吗？,如果支气管炎，会传给家里人吗？,1
22,支气管炎,支气管炎，会传给家里人吗？,下支气管炎，会传给家里人吗？,0
23,支气管炎,支气管炎，会传给家里人吗？,支气管炎，怎么治疗？,0
24,支气管炎,支气管炎，会传给家里人吗？,支气管炎，吃什么药会好？,0
