id,category,query1,query2,label
0,上呼吸道感染,百利阿莫西林胶囊的作用有哪些？,阿莫西林胶囊是治什么的？,0
1,感冒,宝宝流清鼻涕，能吃什么药？,宝宝流清鼻涕，可以吃什么药？,1
2,支原体肺炎,肺炎支原体发高烧怎么处理？,肺炎支原体发高烧如何处理？,1
3,上呼吸道感染,头孢丙烯干混悬剂能给一岁宝宝吃吗？,头孢丙烯干混悬剂有没有副作用？,0
4,感冒,晕车可以吃三九感冒灵吗,晕车药和感冒药能同时吃吗,0
5,哮喘,什么运动适合过敏性哮喘患者,运动性哮喘的危害有哪些,0
6,感冒,月经期间吃感冒药物对身体有影响吗,月经期间吃感冒药物的影响有哪些,1
7,肺炎,5岁孩子得肺炎怎么治疗,儿童肺炎怎样治疗,1
8,感冒,为什么会全身无力酸痛没劲。是感冒的前兆吗？,全身无力酸痛没劲是不是感冒了？,1
9,肺气肿,肺气肿能治愈好吗怎么治愈？,肺气肿患者饮食上应该吃什么？,0
10,肺炎,23介肺炎疫苗有一定要打吗,23介肺炎疫苗有没有打的必要？,1
11,感冒,我经常感冒是怎么回事,：我经常感冒是病毒感染吗？,0
12,肺炎,23价肺炎疫苗一定要打吗,23价肺炎疫苗婴儿能打吗,0
13,肺气肿,肺气肿吸氧有什么作用,吸氧对肺气肿好吗？,1
14,支原体肺炎,该如何治疗小儿支原体肺炎？,小儿支原体肺炎怎么确诊？,0
15,肺炎,23价肺炎疫苗打需要多少钱啊？,23价肺炎疫苗一针是多钱,1
16,感冒,感冒流鼻涕头疼发热全身出虚汗有什么办法,感冒头疼发热全身出虚汗对胎儿有影响吗,0
17,肺炎,肺炎导致的发烧不退怎么办,肺炎主要高烧输什么液?,0
18,上呼吸道感染,使用双黄连注射液为什么要做皮试？,使用双黄连注射液前注射皮试有副作用吗？,0
19,支原体肺炎,小儿支原体肺炎咳嗽该吃什么药？,小儿支原体肺炎咳嗽吃什么药有效？,1
20,肺炎,肺炎的症状有哪些？,肺炎的主要症状,1
21,感冒,怀孕四个月孕妇可以闻风油精的味道吗？,孕妇不小心闻了风油精有什么后果？,0
22,上呼吸道感染,开空调会使上呼吸道感染吗？,开空调时上呼吸道容易感染吗？,1
23,胸膜炎,慢性胸膜炎做ct可以看出来吗,慢性胸膜炎用住院吗,0
24,肺气肿,肺气肿有没有急性和慢性的分别？,肺气肿有急性和慢性的吗？,1
25,支原体肺炎,阿奇霉素干混悬剂治疗小儿支原体肺炎管用吗？,用阿奇霉素干混悬剂治疗小儿支原体肺炎见效吗？,1
26,肺炎,怎么确诊米氏链球菌肺炎？,米氏链球菌肺炎有哪些症状？,0
27,感冒,经常吃感冒药会引起月经推迟吗？,女孩子感冒药吃多了会不会月经推迟？,1
28,肺炎,大人肺炎的症状有哪些,肺炎患者怎么护理,0
29,胸膜炎,胸膜炎活动时疼痛有加重的可能性吗？,胸膜炎活动时疼痛有加重的机率吗？,1
30,感冒,回吸鼻涕中带血是怎么回事,回吸鼻涕带血是怎么回事,1
31,感冒,小孩经常感冒应该怎么治,小孩感冒能吃消炎药吗,0
32,肺气肿,肺气肿早期咳嗽不断该如何是好？,肺气肿早期有哪些症状？,0
33,肺气肿,肺气肿引发心脏问题后还能打感冒预防针吗,肺气肿引发心脏问题打感冒预防针会加速病情恶化吗,1
34,感冒,怀孕40周，感冒怎样治？,怀孕40周，感冒能用药吗？,1
35,感冒,为啥一来月经就感冒,一来月经就感冒是因为什么,1
36,感冒,有孕妇能吃的感冒药？,什么样的感冒药孕妇可以吃？,1
37,感冒,一直感冒流鼻涕怎么办,总是感冒流鼻涕有什么好的办法？,1
38,感冒,宝宝老是流鼻涕是什么原因?,宝宝老是流鼻涕是咋回事?,1
39,咳血,同仁堂百补增力丸可以治疗哪些疾病,脾胃不好的人可以吃同仁堂百补增力丸吗,0
40,哮喘,过敏性咳嗽和过敏性哮喘的区别是什么？,咳嗽发憋是过敏性哮喘吗？,0
41,肺炎,如何确诊新型冠状肺炎,新型冠状肺炎的确认,1
42,肺气肿,肺气肿加心脏病可以打感冒预防针吗,肺气肿引发心脏问题打感冒预防针会加速病情恶化吗,1
43,肺炎,感冒肺炎，住院三天医生说已经可以出院了,感冒肺炎，住院三天医生说出院需要注意饮食,0
44,上呼吸道感染,服用清热解毒软胶囊出现头痛咋办呢,服用清热解毒软胶囊出现头痛用什么办法呢,1
45,肺气肿,肺气肿病人吸氧好吗？,吸氧对肺气肿好吗？,1
46,咳血,服用达肺草的注意事项有哪些,服用达肺草可以治什么病,0
47,支原体肺炎,红霉素肠溶片要怎么用，功效是啥,红霉素肠溶片多少钱？在哪里买,0
48,胸膜炎,为什么治疗胸膜炎时胸水变多了,治疗胸膜炎时胸水多了是什么原因,1
49,感冒,怀孕感冒吃了感冒清会怎么样？,怀孕感冒吃了感冒清该怎么办才好,1
50,感冒,哺乳期感冒了喂奶对宝宝有影响吗,哺乳期发烧了，还能给宝宝吃奶吗,0
51,感冒,一来月经就感冒怎么办,为什么一来月经就感冒,1
52,感冒,月子里感冒流鼻涕怎么治,月子里发烧怎么办,0
53,感冒,我经常感冒是为什么？,我经常感冒是什么原因？,1
54,感冒,儿童感冒流鼻涕该咋办呢,十多岁的孩子感冒流鼻涕怎么治疗,1
55,感冒,怎样快速治疗孕妇感冒,怀孕期间感冒了，快速高效的治疗方法有哪几种,1
56,肺炎,23价肺炎疫苗需要多少钱,肠球菌肺炎的病因是什么,0
57,胸膜炎,检查胸膜炎需要做什么检查,检查有没胸膜炎需要做什么,1
58,肺炎,弗郎西丝菌肺炎在饮食上如何治疗？,弗郎西丝菌肺炎是什么？,0
59,上呼吸道感染,婴儿咳嗽有痰可以吃回春散治疗吗,回春散对婴幼儿有什么样的危害,0
60,肺气肿,肺气肿属于怎样的疾病？,肺气肿是什么病？,1
61,哮喘,咳嗽变异性哮喘能治疗好吗,咳嗽变异性哮喘会发展成哮喘吗？,0
62,肺气肿,治疗肺气肿的方法有哪些？,治疗肺气肿有什么方法不？,1
63,感冒,鼻子有血丝出来是鼻咽癌吗？,鼻咽癌的早期症状有哪些？,0
64,肺气肿,肺气肿是哪种疾病？,肺气肿吃什么治疗效果好？,0
65,上呼吸道感染,5岁大的小孩能用麝香祛痛搽剂吗？,麝香祛痛搽剂有什么用？,0
66,肺气肿,患了肺气肿一般会有哪些症状表现啊,肺气肿病人最明显的表现有哪些呢?,1
67,感冒,什么牌子的感冒药是孕妇可以吃的,男人可以吃孕妇的感冒药吗？,0
68,支原体肺炎,支原体肺炎治疗又什么药可以注射？,怎么诊断检查支原体肺炎？,0
69,感冒,月子里感冒流鼻涕怎样治疗,月子里感冒流鼻涕需要服用消炎药吗,0
70,胸膜炎,胸膜炎的饮食要注意什么？,结核性胸膜炎的饮食要注意什么,0
71,感冒,女性有点感冒过性生活可以吗,感觉有点感冒，多久才能吃药呢？,0
72,咳血,最近吃达肺草这个药，治疗痰中有血效果怎么样,服用达肺草治疗痰中带血的效果如何,1
73,肺炎,肺炎这病严重嘛会死人嘛,得了肺炎容易致死吗,1
74,感冒,感冒打预防针预防什么,发烧打退烧针对1岁对孩子有什么影响,0
75,感冒,感冒期间能不能喝龙牡壮骨颗粒,感冒还能喝龙牡壮骨颗粒吗,1
76,哮喘,过敏性哮喘发作不吃药能行吗？,过敏性哮喘发作时不吃药可取吗？,1
77,肺炎,孩子肺炎怎么治疗能快速好起来,孩子得了肺炎，快速治疗方法有哪些,1
78,肺炎,23价肺炎疫苗要不要打,老人打23价肺炎疫苗需要注意什么,0
79,感冒,感冒了吃药时能喝茶叶水吗？,感冒了吃药时喝茶叶水可以吗？,1
80,上呼吸道感染,什么原因导致婴幼儿上呼吸道感染,婴幼儿免疫力下降是不是会引起上呼吸道感染,1
81,肺气肿,肺气肿患者晚期如何是好？,肺气肿患者晚期如何是好？,1
82,感冒,感冒药对孕妇有影响吗,吃感冒药对胎儿有影响吗？,0
83,感冒,哺乳期感冒了喂奶对宝宝有影响吗,哺乳期感冒不吃药妙招是什么,0
84,上呼吸道感染,金页黄芪片的生产厂家在哪里价格能接受吗,金页黄芪片的厂家在哪里价格贵吗,1
85,上呼吸道感染,婴幼儿支气管炎反复的咳嗽怎么办,婴幼儿患上支气管炎经常咳嗽怎么办,1
86,上呼吸道感染,圣泰清热解毒口服液可靠吗,圣泰清热解毒口服液是正规的吗,1
87,哮喘,过敏性哮喘患者的症状是什么,过敏性哮喘患者有什么表现,1
88,感冒,感冒药和退烧药一起吃可以吗,感冒药和退烧药一起服用行不行,1
89,支原体肺炎,支原体肺炎恢复期会传染吗？,支原体肺炎在恢复期内会不会传染？,1
